,first name,last name,job,studies,salary
0,Megan,Chang,Petroleum engineer,secondary,20586.3250593539
1,Billy,Sheppard,"Radiographer, diagnostic",primary,18180.243936298128
2,Richard,Bowers,Immunologist,primary,19613.02901498404
3,Tammy,Howard,Engineering geologist,primary,17600.790258440655
4,William,Campbell,Chief of Staff,tertiary,28836.114314590548
5,Christine,King,Site engineer,primary,16794.511659192885
6,Tonya,Patrick,Data processing manager,secondary,21416.17026980632
7,Kyle,Blair,Lawyer,primary,19093.06465069417
8,Thomas,Garcia,Politician's assistant,primary,19032.073885057573
9,Leslie,Bowman,"Engineer, energy",primary,17493.58606034338
10,Tammy,Woods,"Scientist, research (life sciences)",secondary,21671.587553994883
11,Jorge,Trujillo,Sports therapist,primary,18806.487921993772
12,Sabrina,Davis,Oceanographer,primary,19663.870980640495
13,Jennifer,Glover,Accommodation manager,secondary,20853.38592073852
14,Cheryl,Clayton,"Lecturer, further education",secondary,20766.841749982977
15,John,Nguyen,Biomedical scientist,primary,17448.873659830217
16,James,Bradley,Field trials officer,primary,17447.350504763504
17,Linda,Thomas,Speech and language therapist,secondary,23155.70945874128
18,Seth,Miller,IT consultant,primary,17952.426749470393
19,Nancy,Bolton,Recruitment consultant,tertiary,28927.802521774167
20,Daniel,Arnold,Company secretary,primary,18295.649689515223
21,Amy,Olsen,"Sound technician, broadcasting/film/video",secondary,23127.57931072309
22,James,Lloyd,Sports development officer,secondary,22457.18034392088
23,Briana,Wallace,"Therapist, occupational",secondary,24526.09182572838
24,Lauren,Stewart,Financial controller,primary,15790.127310091464
25,Kelly,Lopez,"Embryologist, clinical",primary,16721.141648620996
26,Antonio,Zavala,Gaffer,secondary,22061.15594539095
27,Thomas,Davis,"Conservator, furniture",primary,17860.37122994806
28,Nancy,Mclean,Catering manager,primary,17584.133788527142
29,Rachael,Leblanc,"Sound technician, broadcasting/film/video",primary,16688.273895799364
30,Frances,Massey,"Scientist, water quality",primary,18948.973431920233
31,Joshua,Cain,"Engineer, structural",secondary,20897.880757200302
32,Patty,Lawrence,Personnel officer,primary,19250.333958367424
33,Bethany,Hayes,Marketing executive,primary,18105.41809897033
34,Christopher,Salazar,"Radiographer, therapeutic",primary,19225.169496233542
35,Brenda,Rogers,Energy manager,primary,17989.801732827007
36,John,Dennis,Commercial horticulturist,primary,17341.830132638155
37,Janice,Watson,"Doctor, hospital",primary,17031.08523887219
38,Marvin,Cabrera,Chiropractor,primary,17013.988372439857
39,Krista,Wyatt,English as a foreign language teacher,primary,19684.73325731599
40,Brandon,Berry,Social researcher,primary,17781.93869049344
41,Carrie,Jones,Company secretary,primary,19433.87616044472
